Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,57,3,686,112,208,.538,0,0,,112,208,.538,.538,53,103,.515,70,127,197,27,18,26,41,88,277
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,18,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,0,3,3,2,0,0,0,1,2
3,Steven Adams\adamsst01,C,27,NOP,57,57,1581,189,305,.620,0,3,.000,189,302,.626,.620,59,133,.444,212,294,506,109,54,37,78,113,437
4,Bam Adebayo\adebaba01,C,23,MIA,58,58,1944,420,738,.569,2,8,.250,418,730,.573,.570,264,329,.802,132,395,527,307,66,61,154,130,1106
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,674,140,296,.473,31,80,.388,109,216,.505,.525,41,47,.872,19,99,118,49,11,29,27,47,352
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,544,115,248,.464,27,75,.360,88,173,.509,.518,31,37,.838,17,77,94,36,8,18,20,36,288
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,130,25,48,.521,4,5,.800,21,43,.488,.563,10,10,1.000,2,22,24,13,3,11,7,11,64
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,11,0,34,2,11,.182,1,8,.125,1,3,.333,.227,1,2,.500,1,4,5,2,0,1,2,1,6
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,851,158,378,.418,65,187,.348,93,191,.487,.504,39,52,.750,10,116,126,81,40,21,57,77,420
8,Grayson Allen\allengr01,SG,25,MEM,48,36,1227,173,409,.423,107,270,.396,66,139,.475,.554,75,87,.862,18,137,155,103,45,8,47,71,528
9,Jarrett Allen\allenja01,C,22,TOT,55,37,1613,268,418,.641,5,14,.357,263,404,.651,.647,182,256,.711,168,381,549,89,27,84,85,87,723
9,Jarrett Allen\allenja01,C,22,BRK,12,5,320,44,65,.677,0,0,,44,65,.677,.677,46,61,.754,38,87,125,20,7,19,22,21,134
9,Jarrett Allen\allenja01,C,22,CLE,43,32,1293,224,353,.635,5,14,.357,219,339,.646,.642,136,195,.697,130,294,424,69,20,65,63,66,589
10,Al-Farouq Aminu\aminual01,PF,30,TOT,22,14,418,38,98,.388,8,36,.222,30,62,.484,.429,16,19,.842,21,84,105,31,18,9,28,27,100
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,367,36,89,.404,7,31,.226,29,58,.500,.444,14,17,.824,20,71,91,29,17,9,25,22,93
10,Al-Farouq Aminu\aminual01,PF,30,CHI,5,0,51,2,9,.222,1,5,.200,1,4,.250,.278,2,2,1.000,1,13,14,2,1,0,3,5,7
11,Kyle Anderson\anderky01,PF,27,MEM,61,61,1657,270,583,.463,80,229,.349,190,354,.537,.532,125,160,.781,49,312,361,212,77,49,75,106,745
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,54,54,1787,557,980,.568,61,195,.313,496,785,.632,.599,356,522,.682,88,512,600,319,65,69,191,145,1531
