Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,22,TOR,73,28,1725,265,603,.439,56,156,.359,209,447,.468,.486,78,131,.595,146,327,473,82,37,41,84,151,664,achiupr01
2,Steven Adams,C,28,MEM,76,75,1999,210,384,.547,0,1,.000,210,383,.548,.547,108,199,.543,349,411,760,256,65,60,115,153,528,adamsst01
3,Bam Adebayo,C,24,MIA,56,56,1825,406,729,.557,0,6,.000,406,723,.562,.557,256,340,.753,137,427,564,190,80,44,148,171,1068,adebaba01
4,Santi Aldama,PF,21,MEM,32,0,360,53,132,.402,6,48,.125,47,84,.560,.424,20,32,.625,33,54,87,21,6,10,16,36,132,aldamsa01
5,LaMarcus Aldridge,C,36,BRK,47,12,1050,252,458,.550,14,46,.304,238,412,.578,.566,89,102,.873,73,185,258,42,14,47,44,78,607,aldrila01
6,Nickeil Alexander-Walker,SG,23,TOT,65,21,1466,253,680,.372,105,338,.311,148,342,.433,.449,81,109,.743,37,150,187,156,46,23,93,103,692,alexani01
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,237,632,.375,95,305,.311,142,327,.434,.450,70,97,.722,36,128,164,139,41,19,85,88,639,alexani01
6,Nickeil Alexander-Walker,SG,23,UTA,15,2,149,16,48,.333,10,33,.303,6,15,.400,.438,11,12,.917,1,22,23,17,5,4,8,15,53,alexani01
7,Grayson Allen,SG,26,MIL,66,61,1805,255,569,.448,159,389,.409,96,180,.533,.588,64,74,.865,32,190,222,100,46,18,43,96,733,allengr01
8,Jarrett Allen,C,23,CLE,56,56,1809,369,545,.677,1,10,.100,368,535,.688,.678,165,233,.708,192,410,602,92,44,75,94,97,904,allenja01
9,Jose Alvarado,PG,23,NOP,54,1,834,131,294,.446,32,110,.291,99,184,.538,.500,36,53,.679,25,75,100,152,71,7,40,73,330,alvarjo01
10,Justin Anderson,SF,28,TOT,16,6,316,36,95,.379,15,59,.254,21,36,.583,.458,15,19,.789,4,42,46,33,8,6,8,22,102,anderju01
