Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C,23,TOR,12,245,13.9,.493,.304,.359,10.5,30.0,19.6,9.4,0.4,2.9,12.3,21.1,,0.0,0.2,0.3,.056,,-2.1,-1.8,-3.9,-0.1,achiupr01
2,Steven Adams,C,29,MEM,30,788,16.5,.554,.006,.446,19.3,21.9,20.6,10.9,1.5,4.1,21.4,13.9,,0.7,1.4,2.1,.126,,-0.8,0.8,0.0,0.4,adamsst01
3,Bam Adebayo,C,25,MIA,31,1093,19.2,.587,.021,.326,8.0,25.0,16.2,16.1,1.3,1.9,14.6,26.1,,1.1,1.6,2.7,.120,,-0.3,0.4,0.1,0.6,adebaba01
4,Ochai Agbaji,SG,22,UTA,16,127,7.1,.468,.500,.214,5.1,9.7,7.4,3.2,0.4,0.0,0.0,15.2,,0.0,0.0,0.1,.028,,-3.9,-2.7,-6.6,-0.1,agbajoc01
5,Santi Aldama,PF,22,MEM,32,756,15.4,.599,.491,.283,5.6,17.5,11.6,7.5,1.5,3.5,6.8,15.1,,1.4,1.2,2.6,.162,,0.4,1.6,2.0,0.8,aldamsa01
6,Nickeil Alexander-Walker,SG,24,UTA,26,402,13.9,.616,.519,.195,2.2,9.2,5.6,20.6,2.0,2.0,18.6,18.5,,0.4,0.3,0.8,.090,,0.1,0.5,0.5,0.3,alexani01
7,Grayson Allen,SG,27,MIL,31,852,13.0,.609,.600,.260,3.9,9.9,7.0,12.5,1.3,0.6,11.5,14.6,,1.4,0.9,2.3,.129,,0.0,0.5,0.5,0.5,allengr01
8,Jarrett Allen,C,24,CLE,28,931,18.9,.655,.016,.440,10.9,24.7,18.0,6.7,1.1,3.5,12.7,16.3,,2.0,1.8,3.8,.197,,0.8,1.3,2.1,0.9,allenja01
9,Jose Alvarado,PG,24,NOP,33,683,13.2,.541,.533,.179,2.5,9.9,6.2,19.9,3.0,0.6,14.0,19.9,,0.3,1.0,1.3,.092,,-1.7,1.3,-0.5,0.3,alvarjo01
10,Kyle Anderson,PF,29,MIN,25,608,12.8,.569,.210,.362,2.5,16.4,9.7,18.0,2.2,3.1,18.4,13.7,,0.4,0.8,1.1,.090,,-1.2,1.7,0.5,0.4,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,29,973,28.1,.585,.144,.591,7.2,28.8,18.2,30.4,1.2,2.3,12.3,38.7,,2.1,1.7,3.9,.191,,5.4,2.2,7.6,2.4,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,16,69,5.8,.509,.167,.333,6.3,15.0,10.7,5.4,1.4,3.7,42.1,7.2,,-0.1,0.1,0.0,.022,,-5.5,1.4,-4.1,0.0,antetth01
13,Cole Anthony,PG,22,ORL,19,499,15.5,.559,.367,.270,2.1,17.2,9.8,25.9,1.6,1.3,13.1,21.9,,0.6,0.5,1.1,.104,,-0.2,0.6,0.3,0.3,anthoco01
14,OG Anunoby,SF,25,TOR,30,1111,16.0,.581,.334,.256,4.0,14.9,9.1,8.6,2.9,2.3,13.4,21.5,,0.7,1.4,2.1,.090,,-0.1,0.7,0.6,0.7,anunoog01
15,Ryan Arcidiacono,PG,28,NYK,8,22,4.5,.300,.600,.000,0.0,19.5,9.7,11.2,4.4,0.0,16.7,11.5,,0.0,0.0,0.0,-0.010,,-8.2,4.5,-3.7,0.0,arcidry01
16,Deni Avdija,SF,22,WAS,34,882,10.6,.528,.434,.247,3.9,19.4,11.8,13.4,1.4,2.1,15.6,15.3,,0.1,0.9,1.0,.055,,-2.9,0.5,-2.4,-0.1,avdijde01
17,Deandre Ayton,C,24,PHO,32,931,22.4,.646,.044,.229,11.3,26.4,18.6,10.7,0.9,2.5,13.0,23.5,,2.1,1.1,3.3,.169,,2.4,-0.4,2.0,0.9,aytonde01
18,Udoka Azubuike,C,23,UTA,15,63,24.5,.781,.000,.429,17.3,30.1,23.6,11.6,1.5,3.9,15.3,13.1,,0.2,0.1,0.3,.237,,3.8,1.3,5.1,0.1,azubuud01
19,Marvin Bagley III,PF,23,DET,22,482,17.9,.601,.159,.261,10.4,20.4,15.3,4.4,1.3,2.8,9.7,19.1,,0.8,0.3,1.1,.112,,0.5,-0.9,-0.4,0.2,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,10,80,16.3,.634,.784,.054,0.0,19.0,9.7,3.8,2.3,0.0,7.3,21.4,,0.0,0.1,0.1,.086,,3.1,-0.9,2.2,0.1,baldwpa01
21,LaMelo Ball,PG,21,CHO,11,374,18.0,.537,.539,.123,3.2,14.4,8.5,37.2,1.5,0.5,12.7,30.5,,0.3,0.3,0.6,.072,,3.6,-1.9,1.7,0.3,ballla01
22,Mo Bamba,C,24,ORL,30,567,16.7,.615,.492,.254,7.7,24.0,16.0,8.5,0.7,5.4,9.2,16.6,,1.0,0.7,1.7,.144,,0.6,0.6,1.2,0.5,bambamo01
23,Paolo Banchero,PF,20,ORL,29,987,16.9,.550,.249,.511,3.9,18.3,11.2,18.3,1.3,1.7,13.4,27.9,,0.6,0.9,1.4,.070,,0.5,-0.9,-0.4,0.4,banchpa01
24,Desmond Bane,SG,24,MEM,15,479,18.5,.591,.482,.303,1.3,13.2,7.4,18.7,0.8,0.8,9.5,26.9,,1.1,0.5,1.6,.157,,3.4,-0.6,2.9,0.6,banede01
25,Dalano Banton,PG,23,TOR,22,222,16.7,.516,.413,.163,4.3,12.7,8.2,18.2,2.7,5.5,10.4,23.9,,0.1,0.3,0.4,.085,,0.2,0.8,0.9,0.2,bantoda01
